"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 23 09:06:26 GMT 2022","Wed Nov 23 09:06:28 GMT 2022","2253","Surefire suite","Surefire test","Testcases.LoginTests","Testcases.LoginTests","LoginPass","LoginPass",""
"failed","Wed Nov 23 09:06:11 GMT 2022","Wed Nov 23 09:06:22 GMT 2022","10769","Surefire suite","Surefire test","Testcases.LoginTests","Testcases.LoginTests","LoginPass","LoginPass",""
"failed","Wed Nov 23 09:05:56 GMT 2022","Wed Nov 23 09:06:07 GMT 2022","10835","Surefire suite","Surefire test","Testcases.LoginTests","Testcases.LoginTests","LoginPass","LoginPass",""
"failed","Wed Nov 23 09:05:41 GMT 2022","Wed Nov 23 09:05:52 GMT 2022","10993","Surefire suite","Surefire test","Testcases.LoginTests","Testcases.LoginTests","LoginPass","LoginPass",""
