"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Nov 23 07:52:06 GMT 2022","Wed Nov 23 07:52:17 GMT 2022","11029","Surefire suite","Surefire test","Testcases.LoginTests","Testcases.LoginTests","LoginPass","LoginPass",""
"failed","Wed Nov 23 07:52:22 GMT 2022","Wed Nov 23 07:52:33 GMT 2022","10962","Surefire suite","Surefire test","Testcases.LoginTests","Testcases.LoginTests","LoginPass","LoginPass",""
"passed","Wed Nov 23 07:52:54 GMT 2022","Wed Nov 23 07:52:56 GMT 2022","2534","Surefire suite","Surefire test","Testcases.LoginTests","Testcases.LoginTests","LoginPass","LoginPass",""
"failed","Wed Nov 23 07:52:38 GMT 2022","Wed Nov 23 07:52:49 GMT 2022","10898","Surefire suite","Surefire test","Testcases.LoginTests","Testcases.LoginTests","LoginPass","LoginPass",""
